Location_ID,Country,City,State,Postal Code,Region
US-Cen-Tex-Hou-77095,United States,Houston,Texas,77095,Central
US-Cen-Ill-Nap-60540,United States,Naperville,Illinois,60540,Central
US-Eas-Pen-Phi-19143,United States,Philadelphia,Pennsylvania,19143,East
US-Sou-Ken-Hen-42420,United States,Henderson,Kentucky,42420,South
US-Sou-Geo-Ath-30605,United States,Athens,Georgia,30605,South
US-Wes-Cal-Los-90049,United States,Los Angeles,California,90049,West
US-Cen-Tex-Hun-77340,United States,Huntsville,Texas,77340,Central
US-Cen-Tex-Lar-78041,United States,Laredo,Texas,78041,Central
US-Sou-Vir-Spr-22153,United States,Springfield,Virginia,22153,South
US-Eas-Del-Dov-19901,United States,Dover,Delaware,19901,East
US-Sou-Lou-Bos-71111,United States,Bossier City,Louisiana,71111,South
US-Wes-Cal-San-94109,United States,San Francisco,California,94109,West
US-Eas-Ohi-New-43055,United States,Newark,Ohio,43055,East
US-Sou-Sou-Mou-29464,United States,Mount Pleasant,South Carolina,29464,South
US-Eas-Pen-Phi-19140,United States,Philadelphia,Pennsylvania,19140,East
US-Sou-Geo-Ros-30076,United States,Roswell,Georgia,30076,South
US-Eas-Pen-Phi-19134,United States,Philadelphia,Pennsylvania,19134,East
US-Wes-Ore-Spr-97477,United States,Springfield,Oregon,97477,West
US-Wes-Ari-Sco-85254,United States,Scottsdale,Arizona,85254,West
US-Cen-Mic-Wes-48185,United States,Westland,Michigan,48185,Central
US-Sou-Ten-Smy-37167,United States,Smyrna,Tennessee,37167,South
US-Sou-Ark-Jon-72401,United States,Jonesboro,Arkansas,72401,South
US-Sou-Flo-Mia-33180,United States,Miami,Florida,33180,South
US-Cen-Ind-Laf-47905,United States,Lafayette,Indiana,47905,Central
US-Wes-Nev-Las-89115,United States,Las Vegas,Nevada,89115,West
US-Sou-Vir-Ale-22304,United States,Alexandria,Virginia,22304,South
US-Cen-Sou-Rap-57701,United States,Rapid City,South Dakota,57701,Central
US-Wes-Cal-San-92037,United States,San Diego,California,92037,West
US-Eas-New-New-10024,United States,New York City,New York,10024,East
US-Cen-Mic-Det-48234,United States,Detroit,Michigan,48234,Central
US-Wes-Cal-Mis-92691,United States,Mission Viejo,California,92691,West
US-Cen-Wis-Gre-54302,United States,Green Bay,Wisconsin,54302,Central
US-Sou-Flo-Sai-33710,United States,Saint Petersburg,Florida,33710,South
US-Wes-Was-Sea-98105,United States,Seattle,Washington,98105,West
US-Wes-Cal-San-92024,United States,San Diego,California,92024,West
US-Wes-Cal-Esc-92025,United States,Escondido,California,92025,West
US-Sou-Vir-Che-23320,United States,Chesapeake,Virginia,23320,South
US-Cen-Ill-Rom-60441,United States,Romeoville,Illinois,60441,Central
US-Eas-New-Lin-7036,United States,Linden,New Jersey,7036,East
US-Wes-Nev-Nor-89031,United States,North Las Vegas,Nevada,89031,West
US-Cen-Mis-Col-65203,United States,Columbia,Missouri,65203,Central
US-Wes-Cal-Con-94521,United States,Concord,California,94521,West
US-Wes-Was-Sea-98103,United States,Seattle,Washington,98103,West
US-Cen-Tex-Dal-75220,United States,Dallas,Texas,75220,Central
US-Cen-Ill-Chi-60653,United States,Chicago,Illinois,60653,Central
US-Cen-Tex-Arl-76017,United States,Arlington,Texas,76017,Central
US-Cen-Tex-Lub-79424,United States,Lubbock,Texas,79424,Central
US-Cen-Ind-Ric-47374,United States,Richmond,Indiana,47374,Central
US-Cen-Ill-Woo-60098,United States,Woodstock,Illinois,60098,Central
US-Wes-Cal-Mor-92553,United States,Moreno Valley,California,92553,West
US-Cen-Tex-El -79907,United States,El Paso,Texas,79907,Central
US-Wes-Ore-Med-97504,United States,Medford,Oregon,97504,West
US-Eas-Ohi-Col-43229,United States,Columbus,Ohio,43229,East
US-Cen-Ill-Elm-60126,United States,Elmhurst,Illinois,60126,Central
US-Wes-Was-Sea-98115,United States,Seattle,Washington,98115,West
US-Eas-New-New-10035,United States,New York City,New York,10035,East
US-Cen-Tex-Hou-77036,United States,Houston,Texas,77036,Central
US-Eas-New-New-10009,United States,New York City,New York,10009,East
US-Eas-Pen-Phi-19120,United States,Philadelphia,Pennsylvania,19120,East
US-Sou-Nor-Wil-28403,United States,Wilmington,North Carolina,28403,South
US-Sou-Flo-Mar-33063,United States,Margate,Florida,33063,South
US-Sou-Sou-Col-29203,United States,Columbia,South Carolina,29203,South
US-Eas-New-Yon-10701,United States,Yonkers,New York,10701,East
US-Wes-Was-Des-98198,United States,Des Moines,Washington,98198,West
US-Wes-Col-Den-80219,United States,Denver,Colorado,80219,West
US-Cen-Mic-Roy-48073,United States,Royal Oak,Michigan,48073,Central
US-Wes-Cal-Ros-95661,United States,Roseville,California,95661,West
US-Sou-Ken-Ric-40475,United States,Richmond,Kentucky,40475,South
US-Wes-Cal-Hun-92646,United States,Huntington Beach,California,92646,West
US-Sou-Flo-Jac-32216,United States,Jacksonville,Florida,32216,South
US-Wes-Uta-Log-84321,United States,Logan,Utah,84321,West
US-Sou-Flo-Tam-33614,United States,Tampa,Florida,33614,South
US-Sou-Nor-Ral-27604,United States,Raleigh,North Carolina,27604,South
US-Sou-Mis-Jac-39212,United States,Jackson,Mississippi,39212,South
US-Cen-Min-Lak-55044,United States,Lakeville,Minnesota,55044,Central
US-Cen-Tex-Dal-75217,United States,Dallas,Texas,75217,Central
US-Wes-Cal-Bur-91505,United States,Burbank,California,91505,West
US-Wes-Cal-San-94110,United States,San Francisco,California,94110,West
US-Sou-Flo-Lak-33801,United States,Lakeland,Florida,33801,South
US-Sou-Ten-Kno-37918,United States,Knoxville,Tennessee,37918,South
US-Eas-Ohi-Ham-45011,United States,Hamilton,Ohio,45011,East
US-Sou-Nor-Ash-28806,United States,Asheville,North Carolina,28806,South
US-Wes-Ari-Tuc-85705,United States,Tucson,Arizona,85705,West
