Order ID,Customer ID,Location_ID,Order Date
CA-2019-103800,DP-13000,US-Cen-Tex-Hou-77095,04-01-2019
CA-2019-112326,PO-19195,US-Cen-Ill-Nap-60540,05-01-2019
CA-2019-141817,MB-18085,US-Eas-Pen-Phi-19143,06-01-2019
CA-2019-167199,ME-17320,US-Sou-Ken-Hen-42420,07-01-2019
CA-2019-106054,JO-15145,US-Sou-Geo-Ath-30605,07-01-2019
CA-2019-130813,LS-17230,US-Wes-Cal-Los-90049,07-01-2019
CA-2019-105417,VS-21820,US-Cen-Tex-Hun-77340,08-01-2019
CA-2019-135405,MS-17830,US-Cen-Tex-Lar-78041,10-01-2019
CA-2019-149020,AJ-10780,US-Sou-Vir-Spr-22153,11-01-2019
CA-2019-130092,SV-20365,US-Eas-Del-Dov-19901,12-01-2019
CA-2019-162775,CS-12250,US-Sou-Lou-Bos-71111,14-01-2019
CA-2019-157147,BD-11605,US-Wes-Cal-San-94109,14-01-2019
CA-2019-118192,MM-17920,US-Eas-Ohi-New-43055,14-01-2019
CA-2019-109232,ND-18370,US-Sou-Sou-Mou-29464,14-01-2019
CA-2019-149524,BS-11590,US-Eas-Pen-Phi-19140,1/15/2019
CA-2019-103366,EH-13990,US-Sou-Geo-Ros-30076,16-01-2019
CA-2019-115791,DL-13315,US-Eas-Pen-Phi-19134,17-01-2019
CA-2019-123477,DW-13195,US-Wes-Ore-Spr-97477,19-01-2019
CA-2019-146591,TS-21340,US-Wes-Ari-Sco-85254,20-01-2019
CA-2019-167927,XP-21865,US-Cen-Mic-Wes-48185,21-01-2019
CA-2019-148614,MV-17485,US-Wes-Cal-Los-90049,21-01-2019
US-2019-147774,MM-18280,US-Sou-Ten-Smy-37167,21-01-2019
US-2019-147627,HL-15040,US-Sou-Ark-Jon-72401,21-01-2019
CA-2019-110422,TB-21400,US-Sou-Flo-Mia-33180,22-01-2019
CA-2019-146997,SG-20605,US-Cen-Ind-Laf-47905,24-01-2019
CA-2019-102645,IM-15055,US-Wes-Nev-Las-89115,24-01-2019
US-2019-155502,SD-20485,US-Sou-Vir-Ale-22304,27-01-2019
CA-2019-167997,CA-11965,US-Cen-Sou-Rap-57701,27-01-2019
US-2019-117163,EJ-13720,US-Wes-Cal-San-92037,28-01-2019
CA-2019-100328,JC-15340,US-Eas-New-New-10024,29-01-2019
CA-2019-134103,MV-18190,US-Cen-Mic-Det-48234,31-01-2019
CA-2019-115161,LC-17050,US-Wes-Cal-Mis-92691,01-02-2019
CA-2019-140795,BD-11500,US-Cen-Wis-Gre-54302,02-02-2019
CA-2019-123400,EB-13930,US-Sou-Flo-Sai-33710,03-02-2019
CA-2019-139857,CD-12790,US-Wes-Cal-San-92037,03-02-2019
CA-2019-111059,TB-21400,US-Wes-Was-Sea-98105,04-02-2019
CA-2019-107181,DB-13270,US-Wes-Cal-San-92024,05-02-2019
CA-2019-104808,MH-17440,US-Wes-Cal-Esc-92025,05-02-2019
CA-2019-131905,ND-18460,US-Sou-Vir-Che-23320,07-02-2019
CA-2019-108182,DL-13315,US-Cen-Ill-Rom-60441,07-02-2019
CA-2019-107755,CK-12760,US-Eas-New-Lin-7036,08-02-2019
US-2019-169390,CS-12250,US-Eas-New-New-10024,08-02-2019
CA-2019-125759,NM-18445,US-Wes-Nev-Nor-89031,09-02-2019
CA-2019-168368,GA-14725,US-Cen-Mis-Col-65203,12-02-2019
CA-2019-127614,NF-18385,US-Sou-Vir-Che-23320,12-02-2019
US-2019-110674,SC-20095,US-Wes-Cal-Con-94521,13-02-2019
CA-2019-121762,ML-17395,US-Wes-Was-Sea-98103,15-02-2019
CA-2019-107706,ST-20530,US-Cen-Tex-Hou-77095,15-02-2019
CA-2019-165568,BF-11020,US-Wes-Was-Sea-98105,16-02-2019
CA-2019-122567,MN-17935,US-Cen-Tex-Dal-75220,17-02-2019
CA-2019-154165,DL-13315,US-Cen-Ill-Chi-60653,18-02-2019
CA-2019-152905,AB-10015,US-Cen-Tex-Arl-76017,19-02-2019
US-2019-165589,TB-21595,US-Cen-Tex-Lub-79424,19-02-2019
CA-2019-109491,LC-16930,US-Cen-Ind-Ric-47374,21-02-2019
CA-2019-164903,SR-20740,US-Wes-Cal-Los-90049,21-02-2019
CA-2019-165540,TM-21010,US-Cen-Ill-Woo-60098,22-02-2019
CA-2019-133354,SA-20830,US-Wes-Cal-Mor-92553,23-02-2019
CA-2019-103744,MG-17875,US-Cen-Tex-El -79907,24-02-2019
US-2019-137680,JH-15430,US-Wes-Ore-Med-97504,25-02-2019
CA-2019-156545,JS-16030,US-Eas-Ohi-Col-43229,28-02-2019
CA-2019-113880,VF-21715,US-Cen-Ill-Elm-60126,01-03-2019
CA-2019-104269,DB-13060,US-Wes-Was-Sea-98115,01-03-2019
CA-2019-131009,SC-20380,US-Cen-Tex-El -79907,01-03-2019
