Customer ID,Product ID,Location_ID,Order ID,shipment_id,Sales,Quantity,Discount,Profit,Order Date
DP-13000,OFF-PA-10000174,US-Cen-Tex-Hou-77095,CA-2019-103800,SC-2019-01-103800,16.448,2.0,0.2,5.5512,04-01-2019
PO-19195,OFF-LA-10003223,US-Cen-Ill-Nap-60540,CA-2019-112326,SC-2019-01-112326,11.784,3.0,0.2,4.2717,05-01-2019
PO-19195,OFF-ST-10002743,US-Cen-Ill-Nap-60540,CA-2019-112326,SC-2019-01-112326,272.736,3.0,0.2,-64.7748,05-01-2019
PO-19195,OFF-BI-10004094,US-Cen-Ill-Nap-60540,CA-2019-112326,SC-2019-01-112326,3.54,2.0,0.8,-5.487,05-01-2019
MB-18085,OFF-AR-10003478,US-Eas-Pen-Phi-19143,CA-2019-141817,SC-2019-01-141817,19.536,3.0,0.2,4.884,06-01-2019
ME-17320,OFF-AR-10001662,US-Sou-Ken-Hen-42420,CA-2019-167199,SC-2019-01-167199,5.48,2.0,0.0,1.4796,07-01-2019
ME-17320,FUR-CH-10004063,US-Sou-Ken-Hen-42420,CA-2019-167199,SC-2019-01-167199,2573.82,9.0,0.0,746.4078,07-01-2019
ME-17320,OFF-BI-20004632,US-Sou-Ken-Hen-42420,CA-2019-167199,SC-2019-01-167199,609.98,2.0,0.0,274.491,07-01-2019
JO-15145,OFF-AR-10002399,US-Sou-Geo-Ath-30605,CA-2019-106054,FC-2019-01-106054,12.78,3.0,0.0,5.2398,07-01-2019
ME-17320,TEC-PH-10004977,US-Sou-Ken-Hen-42420,CA-2019-167199,SC-2019-01-167199,391.98,2.0,0.0,113.6742,07-01-2019
ME-17320,TEC-PH-10004539,US-Sou-Ken-Hen-42420,CA-2019-167199,SC-2019-01-167199,755.96,4.0,0.0,204.1092,07-01-2019
ME-17320,OFF-FA-10001883,US-Sou-Ken-Hen-42420,CA-2019-167199,SC-2019-01-167199,31.12,4.0,0.0,0.3112,07-01-2019
