shipment_id,Order ID,Ship Date,Ship Mode
SC-2019-01-103800,CA-2019-103800,08-01-2019,Standard Class
SC-2019-01-112326,CA-2019-112326,09-01-2019,Standard Class
SC-2019-01-141817,CA-2019-141817,13-01-2019,Standard Class
SC-2019-01-167199,CA-2019-167199,11-01-2019,Standard Class
FC-2019-01-106054,CA-2019-106054,08-01-2019,First Class
SC-2019-01-130813,CA-2019-130813,09-01-2019,Second Class
SC-2019-01-105417,CA-2019-105417,13-01-2019,Standard Class
SC-2019-01-135405,CA-2019-135405,14-01-2019,Standard Class
SC-2019-01-149020,CA-2019-149020,16-01-2019,Standard Class
FC-2019-01-130092,CA-2019-130092,15-01-2019,First Class
SC-2019-01-162775,CA-2019-162775,16-01-2019,Second Class
SC-2019-01-157147,CA-2019-157147,19-01-2019,Standard Class
SC-2019-01-118192,CA-2019-118192,19-01-2019,Standard Class
SC-2019-01-109232,CA-2019-109232,17-01-2019,Second Class
FC-2019-01-149524,CA-2019-149524,16-01-2019,First Class
FC-2019-01-103366,CA-2019-103366,18-01-2019,First Class
SC-2019-01-115791,CA-2019-115791,19-01-2019,Second Class
SC-2019-01-123477,CA-2019-123477,22-01-2019,Second Class
FC-2019-01-146591,CA-2019-146591,21-01-2019,First Class
SC-2019-01-167927,CA-2019-167927,27-01-2019,Standard Class
SC-2019-01-148614,CA-2019-148614,26-01-2019,Standard Class
SC-2019-01-147774,US-2019-147774,27-01-2019,Standard Class
SC-2019-01-147627,US-2019-147627,27-01-2019,Standard Class
SC-2019-01-110422,CA-2019-110422,24-01-2019,Second Class
SC-2019-01-146997,CA-2019-146997,28-01-2019,Standard Class
SC-2019-01-102645,CA-2019-102645,29-01-2019,Standard Class
SC-2019-02-155502,US-2019-155502,01-02-2019,Standard Class
FC-2019-01-167997,CA-2019-167997,30-01-2019,First Class
SC-2019-02-117163,US-2019-117163,03-02-2019,Standard Class
SC-2019-02-100328,CA-2019-100328,04-02-2019,Standard Class
SC-2019-02-134103,CA-2019-134103,05-02-2019,Standard Class
FC-2019-02-115161,CA-2019-115161,03-02-2019,First Class
FC-2019-02-140795,CA-2019-140795,04-02-2019,First Class
SC-2019-02-123400,CA-2019-123400,10-02-2019,Standard Class
SC-2019-02-139857,CA-2019-139857,07-02-2019,Standard Class
